work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,company_size,employee_residence,remote_ratio,company_location
2021e,MI,FT,Cloud Data Engineer,120000,SGD,89514,L,SG,50,SG
2021e,EN,FT,Data Scientist,2200000,INR,29831,L,IN,50,IN
2021e,SE,FT,Lead Data Engineer,276000,USD,276000,L,US,0,US
2020,SE,FT,Data Engineer,188000,USD,188000,L,US,100,US
2021e,SE,FT,Cloud Data Engineer,160000,USD,160000,S,BR,100,US
2020,MI,FT,Data Scientist,105000,USD,105000,L,US,100,US
2021e,MI,FT,Data Engineer,200000,USD,200000,L,US,100,US
2021e,SE,FT,Data Engineering Manager,174000,USD,174000,L,US,100,US
2021e,MI,FT,Data Analyst,93000,USD,93000,L,US,100,US
2021e,EN,FT,Data Scientist,2100000,INR,28475,M,IN,100,IN
2021e,SE,FT,Research Scientist,51400,EUR,61270,L,PT,50,PT
2021e,EN,FT,Data Scientist,90000,USD,90000,S,US,100,US
2020,MI,FT,Data Engineer,61500,EUR,70139,L,FR,50,FR
2020,EN,FT,Data Analyst,450000,INR,6072,S,IN,0,IN
2020,SE,FT,Data Engineer,720000,MXN,33511,S,MX,0,MX
2021e,SE,FT,Principal Data Analyst,170000,USD,170000,M,US,100,US
2021e,SE,FT,Data Engineer,70000,GBP,96833,L,GB,50,GB
2021e,MI,FT,Data Engineer,108000,TRY,13105,M,TR,0,TR
2021e,EN,FT,Data Scientist,31000,EUR,36952,L,FR,50,FR
2021e,MI,FT,Data Engineer,52500,GBP,72625,L,GB,50,GB
2020,EN,FT,Data Analyst,91000,USD,91000,L,US,100,US
2021e,SE,FT,Big Data Architect,125000,CAD,99956,M,CA,50,CA
2021e,SE,FT,Data Scientist,165000,USD,165000,L,US,100,US
2021e,MI,FT,Data Analyst,80000,USD,80000,L,US,100,US
2021e,SE,FT,Data Scientist,130000,CAD,103954,L,CA,100,CA
2021e,EN,FT,Data Engineer,1600000,INR,21695,M,IN,50,IN
2020,EN,FT,Research Scientist,42000,USD,42000,L,NL,50,NL
2020,MI,FT,Lead Data Scientist,115000,USD,115000,L,AE,0,AE
2021e,MI,FT,Research Scientist,80000,CAD,63971,M,CA,100,CA
2020,SE,FT,Machine Learning Scientist,260000,USD,260000,S,JP,0,JP
2021e,MI,FT,Head of Data Science,110000,USD,110000,S,US,0,US
2021e,MI,FT,Data Architect,180000,USD,180000,L,US,100,US
2021e,SE,FT,Data Analyst,200000,USD,200000,L,US,100,US
2020,SE,FT,Big Data Engineer,85000,GBP,109024,M,GB,50,GB
2021e,SE,FT,Director of Data Engineering,200000,USD,200000,L,US,100,US
2021e,SE,FT,ML Engineer,256000,USD,256000,S,US,100,US
2021e,MI,FT,Data Engineer,110000,USD,110000,L,US,100,US
2020,MI,FT,Data Scientist,70000,EUR,79833,L,DE,0,DE
2021e,EN,FT,Data Engineer,72500,USD,72500,L,US,100,US
2021e,SE,FT,Machine Learning Engineer,185000,USD,185000,L,US,50,US
2021e,MI,PT,Data Engineer,59000,EUR,70329,L,NL,100,NL
2021e,EN,FT,Research Scientist,100000,USD,100000,L,JE,0,CN
2021e,MI,FT,Data Engineer,112000,USD,112000,L,US,100,US
2020,SE,FT,Machine Learning Engineer,150000,USD,150000,L,US,50,US
2021e,SE,FT,Data Scientist,180000,TRY,21843,L,TR,50,TR
2021e,SE,FT,AI Scientist,55000,USD,55000,L,ES,100,ES
2021e,EN,FT,Data Scientist,58000,USD,58000,L,US,50,US
2021e,EN,FT,Data Scientist,100000,USD,100000,M,US,100,US
2021e,SE,FT,Data Scientist,65720,EUR,78340,M,FR,50,FR
2021e,EN,FT,Machine Learning Engineer,85000,USD,85000,S,NL,100,DE
2021e,EN,FT,Data Science Consultant,65000,EUR,77481,L,DE,0,DE
2021e,SE,CT,Staff Data Scientist,105000,USD,105000,M,US,100,US
2020,EN,FT,Data Analyst,72000,USD,72000,L,US,100,US
2021e,EN,FT,Data Engineer,55000,EUR,65561,M,DE,50,DE
2021e,MI,FT,Data Engineer,250000,TRY,30337,M,TR,100,TR
2021e,MI,FT,Data Engineer,111775,USD,111775,M,US,0,US
2021e,MI,FT,Data Engineer,93150,USD,93150,M,US,0,US
2021e,SE,FT,Lead Data Engineer,160000,USD,160000,S,PR,50,US
2021e,MI,FT,Data Scientist,21600,EUR,25747,S,RS,100,DE
2021e,SE,FT,Machine Learning Engineer,4900000,INR,66442,L,IN,0,IN
2021e,MI,FT,Data Scientist,1250000,INR,16949,S,IN,100,IN
2021e,SE,FT,Data Analyst,54000,EUR,64369,L,DE,50,DE
2020,SE,FT,Lead Data Scientist,190000,USD,190000,S,US,100,US
2021e,EX,FT,Director of Data Science,120000,EUR,143043,L,DE,0,DE
2021e,EN,FT,Big Data Engineer,1200000,INR,16271,L,IN,100,IN
2021e,SE,FT,Data Analyst,90000,CAD,71968,M,CA,100,CA
2020,MI,FT,Data Scientist,11000000,HUF,35735,L,HU,50,HU
2021e,SE,FT,Data Scientist,135000,USD,135000,L,US,0,US
2021e,EN,FT,Machine Learning Engineer,21000,EUR,25032,M,DE,50,DE
2021e,SE,FT,Data Science Manager,4000000,INR,54238,L,IN,50,US
2021e,SE,FT,Machine Learning Engineer,1799997,INR,24407,L,IN,100,IN
2021e,EN,FT,BI Data Analyst,9272,USD,9272,S,KE,100,KE
2021e,MI,FT,Data Scientist,147000,USD,147000,L,US,50,US
2021e,SE,FT,Research Scientist,120500,CAD,96357,L,CA,50,CA
2021e,SE,FT,Data Science Manager,174000,USD,174000,L,US,100,US
2020,MI,FT,Business Data Analyst,135000,USD,135000,L,US,100,US
2021e,EN,FT,Machine Learning Engineer,21844,USD,21844,M,CO,50,CO
2020,SE,FT,Lead Data Engineer,125000,USD,125000,S,NZ,50,NZ
2020,EN,FT,Data Scientist,45000,EUR,51321,S,FR,0,FR
2020,MI,FT,Data Scientist,3000000,INR,40481,L,IN,0,IN
2021e,EX,FT,Data Science Consultant,59000,EUR,70329,S,FR,100,ES
2021e,SE,FT,Data Analytics Engineer,50000,USD,50000,M,VN,100,GB
2021e,MI,FT,Data Engineer,4000,USD,4000,M,IR,100,IR
2020,EN,FT,Data Scientist,35000,EUR,39916,M,FR,0,FR
2020,MI,FT,Lead Data Analyst,87000,USD,87000,L,US,100,US
2021e,MI,FT,Data Engineer,22000,EUR,26224,L,RO,0,US
2021e,MI,FT,Data Scientist,76760,EUR,91500,L,DE,50,DE
2021e,MI,FT,Big Data Engineer,1672000,INR,22671,L,IN,0,IN
2021e,MI,FT,Data Scientist,420000,INR,5695,S,IN,100,US
2021e,EN,FT,Machine Learning Engineer,81000,USD,81000,S,US,50,US
2021e,MI,FT,Data Scientist,30400000,CLP,40798,L,CL,100,CL
2021e,MI,FT,Data Scientist,58000,MXN,2876,S,MX,0,MX
2021e,EN,FT,Data Science Consultant,90000,USD,90000,S,US,100,US
2021e,MI,FT,Data Scientist,52000,EUR,61985,M,DE,50,AT
2021e,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,M,US,100,US
2021e,MI,FT,Data Scientist,32000,EUR,38144,L,ES,100,ES
2020,MI,FT,Data Analyst,85000,USD,85000,L,US,100,US
2021e,EX,CT,Principal Data Scientist,416000,USD,416000,S,US,100,US
2021e,SE,FT,Machine Learning Scientist,225000,USD,225000,L,US,100,CA
2021e,MI,FT,Data Scientist,40900,GBP,56578,L,GB,50,GB
2021e,MI,FT,Data Scientist,2500000,INR,33899,M,IN,0,IN
2021e,MI,FT,Data Scientist,85000,GBP,117583,L,GB,50,GB
2021e,MI,FT,Machine Learning Engineer,180000,PLN,47129,L,PL,100,PL
2020,MI,FT,Data Analyst,8000,USD,8000,L,PK,50,PK
2020,EN,FT,Data Engineer,4450000,JPY,41689,S,JP,100,JP
2020,SE,FT,Big Data Engineer,100000,EUR,114047,S,PL,100,GB
2021e,MI,FT,Machine Learning Engineer,75000,EUR,89402,M,BE,100,BE
2020,EN,FT,Data Science Consultant,423000,INR,5707,M,IN,50,IN
2020,MI,FT,Lead Data Engineer,56000,USD,56000,M,PT,100,US
2021e,EN,PT,Computer Vision Engineer,180000,DKK,28850,S,DK,50,DK
2021e,MI,FT,Data Scientist,75000,EUR,89402,L,DE,50,DE
2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,M,CN,0,CN
2020,MI,FT,Product Data Analyst,450000,INR,6072,L,IN,100,IN
2020,SE,FT,Data Engineer,42000,EUR,47899,L,GR,50,GR
2020,MI,FT,BI Data Analyst,98000,USD,98000,M,US,0,US
2021e,MI,FT,Data Engineer,48000,GBP,66400,S,HK,50,GB
2021e,MI,FT,Research Scientist,48000,EUR,57217,S,FR,50,FR
2021e,MI,FT,Machine Learning Engineer,21000,EUR,25032,L,SI,50,SI
2021e,SE,FT,Data Analytics Manager,120000,USD,120000,L,US,0,US
